,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
3536,"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)",DJ Khaled,0.714,0.785,0.0,-5.907,1.0,0.041,0.0153,2.84e-05,0.109,0.313,106.034,audio_features,695hAGzNZrrHyAPbqvVfXO,spotify:track:695hAGzNZrrHyAPbqvVfXO,https://api.spotify.com/v1/tracks/695hAGzNZrrHyAPbqvVfXO,https://api.spotify.com/v1/audio-analysis/695hAGzNZrrHyAPbqvVfXO,177736.0,4.0,0
3537,You Never Can Tell,Chuck Berry,0.552,0.608,1.0,-9.786,0.0,0.0345,0.352,0.0,0.0533,0.637,112.367,audio_features,4s6LhHAV5SEsOV0lC2tjvJ,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,162373.0,4.0,3
3538,Down for You (feat. BJ The Chicago Kid),Kehlani,0.725,0.489,0.0,-12.565,1.0,0.256,0.228,7.28e-06,0.0854,0.361,95.154,audio_features,76cdpJtbucm5LkjJ073uwP,spotify:track:76cdpJtbucm5LkjJ073uwP,https://api.spotify.com/v1/tracks/76cdpJtbucm5LkjJ073uwP,https://api.spotify.com/v1/audio-analysis/76cdpJtbucm5LkjJ073uwP,179347.0,4.0,1
3539,You Were Right,RÜFÜS DU SOL,0.724,0.705,2.0,-5.859,0.0,0.112,0.067,0.0,0.262,0.662,146.589,audio_features,2YegxR5As7BeQuVp2U6pek,spotify:track:2YegxR5As7BeQuVp2U6pek,https://api.spotify.com/v1/tracks/2YegxR5As7BeQuVp2U6pek,https://api.spotify.com/v1/audio-analysis/2YegxR5As7BeQuVp2U6pek,246333.0,4.0,3
3540,Why Do You Run,Omnia,0.333,0.638,5.0,-4.946,1.0,0.0842,0.366,1.36e-05,0.101,0.296,62.479,audio_features,3YmiIqDgrq1zPVF2uPMKpo,spotify:track:3YmiIqDgrq1zPVF2uPMKpo,https://api.spotify.com/v1/tracks/3YmiIqDgrq1zPVF2uPMKpo,https://api.spotify.com/v1/audio-analysis/3YmiIqDgrq1zPVF2uPMKpo,266613.0,4.0,0
3541,Without You (feat. Rapsody),Anderson .Paak,0.373,0.737,1.0,-5.282,1.0,0.0297,9.4e-06,0.0,0.0696,0.565,177.9,audio_features,1RtnIF8uRwTLxmcR87V6Wo,spotify:track:1RtnIF8uRwTLxmcR87V6Wo,https://api.spotify.com/v1/tracks/1RtnIF8uRwTLxmcR87V6Wo,https://api.spotify.com/v1/audio-analysis/1RtnIF8uRwTLxmcR87V6Wo,186893.0,4.0,0
3542,You Know,Zeds Dead,0.876,0.573,0.0,-3.764,1.0,0.431,0.294,0.0,0.121,0.756,92.236,audio_features,4FI0rdztOAYJZMupujL5Gp,spotify:track:4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/tracks/4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/audio-analysis/4FI0rdztOAYJZMupujL5Gp,205453.0,4.0,1
3543,Mama Said Knock You Out,LL Cool J,0.726,0.329,0.0,-11.181,1.0,0.0408,0.331,0.00349,0.134,0.216,129.844,audio_features,7ehvyx8K9ZRbOofjeUyIic,spotify:track:7ehvyx8K9ZRbOofjeUyIic,https://api.spotify.com/v1/tracks/7ehvyx8K9ZRbOofjeUyIic,https://api.spotify.com/v1/audio-analysis/7ehvyx8K9ZRbOofjeUyIic,201107.0,4.0,2
3544,"Unlove You - From “Star (Season 1)"" Soundtrack",Star Cast,0.623,0.705,6.0,-6.035,1.0,0.0338,0.243,0.025,0.129,0.036,100.025,audio_features,4MQH3f29tWW0P0DE6SgOlb,spotify:track:4MQH3f29tWW0P0DE6SgOlb,https://api.spotify.com/v1/tracks/4MQH3f29tWW0P0DE6SgOlb,https://api.spotify.com/v1/audio-analysis/4MQH3f29tWW0P0DE6SgOlb,201600.0,4.0,0
3545,Outro : Wings,BTS,0.655,0.328,6.0,-10.632,1.0,0.103,0.59,0.0884,0.0856,0.261,89.925,audio_features,7cPglGvAJ6NsjBYjxepwwI,spotify:track:7cPglGvAJ6NsjBYjxepwwI,https://api.spotify.com/v1/tracks/7cPglGvAJ6NsjBYjxepwwI,https://api.spotify.com/v1/audio-analysis/7cPglGvAJ6NsjBYjxepwwI,273947.0,4.0,2
3546,You are so beautiful,Eddy Kim,0.505,0.582,7.0,-7.844,0.0,0.146,0.0187,0.0,0.0659,0.371,145.99,audio_features,7hMqz88kcK2Tx6wBka9INF,spotify:track:7hMqz88kcK2Tx6wBka9INF,https://api.spotify.com/v1/tracks/7hMqz88kcK2Tx6wBka9INF,https://api.spotify.com/v1/audio-analysis/7hMqz88kcK2Tx6wBka9INF,268973.0,4.0,3
3547,Live Like You Were Dying,Tim McGraw,0.584,0.931,9.0,-6.158,1.0,0.0344,0.00315,0.772,0.133,0.694,131.275,audio_features,0yEhNqCwEfy8LHUmnZoHpP,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,https://api.spotify.com/v1/tracks/0yEhNqCwEfy8LHUmnZoHpP,https://api.spotify.com/v1/audio-analysis/0yEhNqCwEfy8LHUmnZoHpP,211707.0,4.0,0
3548,Yoü And I,Lady Gaga,0.638,0.831,5.0,-3.944,1.0,0.182,0.0281,3.06e-06,0.277,0.685,175.038,audio_features,5mvKuE9Lf9ARVXVXA32kK9,spotify:track:5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/tracks/5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/audio-analysis/5mvKuE9Lf9ARVXVXA32kK9,223053.0,4.0,0
3549,Japanese Denim,Daniel Caesar,0.57,0.297,0.0,-11.641,1.0,0.0348,0.613,0.0,0.208,0.308,95.169,audio_features,1KaYa7hb7zrCiMmQBIpLwL,spotify:track:1KaYa7hb7zrCiMmQBIpLwL,https://api.spotify.com/v1/tracks/1KaYa7hb7zrCiMmQBIpLwL,https://api.spotify.com/v1/audio-analysis/1KaYa7hb7zrCiMmQBIpLwL,204000.0,4.0,2
3550,Music Sounds Better with You,Vanrip,0.559,0.849,3.0,-4.676,1.0,0.0454,0.0854,0.0,0.328,0.759,86.978,audio_features,2BWWsCwuHAZFE1scLyP6Qe,spotify:track:2BWWsCwuHAZFE1scLyP6Qe,https://api.spotify.com/v1/tracks/2BWWsCwuHAZFE1scLyP6Qe,https://api.spotify.com/v1/audio-analysis/2BWWsCwuHAZFE1scLyP6Qe,182827.0,4.0,0
3551,You Are the Best Thing,Ray LaMontagne,0.475,0.936,5.0,-2.545,1.0,0.0413,0.0418,0.0,0.0873,0.598,151.988,audio_features,2yWtLaPCOUDyi7f1lOXCn5,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,https://api.spotify.com/v1/tracks/2yWtLaPCOUDyi7f1lOXCn5,https://api.spotify.com/v1/audio-analysis/2yWtLaPCOUDyi7f1lOXCn5,209587.0,4.0,0
3552,You Got Me,The Roots,0.533,0.838,0.0,-3.723,1.0,0.0319,0.102,0.0,0.394,0.449,75.021,audio_features,7rLvsAO1yb7ElxPhkz60qh,spotify:track:7rLvsAO1yb7ElxPhkz60qh,https://api.spotify.com/v1/tracks/7rLvsAO1yb7ElxPhkz60qh,https://api.spotify.com/v1/audio-analysis/7rLvsAO1yb7ElxPhkz60qh,196549.0,4.0,0
3553,Do You - Joe Kold Remix,BINK,0.532,0.792,3.0,-4.572,1.0,0.0394,0.027,1.72e-06,0.101,0.38,127.989,audio_features,4e1V6XqJ0GbagtTaI6ytUS,spotify:track:4e1V6XqJ0GbagtTaI6ytUS,https://api.spotify.com/v1/tracks/4e1V6XqJ0GbagtTaI6ytUS,https://api.spotify.com/v1/audio-analysis/4e1V6XqJ0GbagtTaI6ytUS,204223.0,4.0,0
3554,California Dreamin' - Single Version,The Mamas & The Papas,0.545,0.476,7.0,-7.444,0.0,0.284,0.168,0.0,0.13,0.223,154.362,audio_features,2YaDRtIlQiZ5WDDB2YuEOC,spotify:track:2YaDRtIlQiZ5WDDB2YuEOC,https://api.spotify.com/v1/tracks/2YaDRtIlQiZ5WDDB2YuEOC,https://api.spotify.com/v1/audio-analysis/2YaDRtIlQiZ5WDDB2YuEOC,264907.0,4.0,1
3555,Think About You (feat. Quiñ),G-Eazy,0.537,0.693,9.0,-5.256,1.0,0.0847,0.0566,0.0,0.146,0.581,176.004,audio_features,3Qe097eJNp9MfpT2PieEw0,spotify:track:3Qe097eJNp9MfpT2PieEw0,https://api.spotify.com/v1/tracks/3Qe097eJNp9MfpT2PieEw0,https://api.spotify.com/v1/audio-analysis/3Qe097eJNp9MfpT2PieEw0,181210.0,4.0,0
